id,tool_id,tool_name,category,description,total_quantity,available_quantity,unit_price,created_at
179,null,"IP Camera 5MP(s/n:8EOC543PAGD1ECD)","General","IP Camera 5MP(s/n:8EOC543PAGD1ECD)",10,10,"0.00","2026-07-02T04:46:53.043Z"
180,null,"Master Control unit - New with gray enclosure","General","Master Control unit - New with gray enclosure",10,10,"0.00","2026-07-02T04:46:53.048Z"
181,null,"Display port cable","General","Display port cable",10,10,"0.00","2026-07-02T04:46:53.054Z"
182,null,"Camera","General","Camera",10,10,"0.00","2026-07-02T04:46:53.060Z"
183,null,"Extension Switch socket","General","Extension Switch socket",10,10,"0.00","2026-07-02T04:46:53.065Z"
184,null,"Hardware for AI application","General","Hardware for AI application",10,10,"0.00","2026-07-02T04:46:53.072Z"
185,null,"Monitor Display with power adaptor with Hdmi","General","Monitor Display with power adaptor with Hdmi",10,10,"0.00","2026-07-02T04:46:53.078Z"
186,null,"Temperature Sensor","General","Temperature Sensor",10,10,"0.00","2026-07-02T04:46:53.084Z"
187,null,"Barcode Scanner","General","Barcode Scanner",10,10,"0.00","2026-07-02T04:46:53.091Z"
188,null,"NFC Reader","General","NFC Reader",10,10,"0.00","2026-07-02T04:46:53.096Z"
189,null,"Testing Parts","General","Testing Parts",10,10,"0.00","2026-07-02T04:46:53.102Z"
190,null,"Master Control Unit Version 2","General","Master Control Unit Version 2",10,10,"0.00","2026-07-02T04:46:53.109Z"
191,null,"HDMI to USB Converter","General","HDMI to USB Converter",10,10,"0.00","2026-07-02T04:46:53.114Z"
192,null,"IOT Computer PC","General","IOT Computer PC",10,10,"0.00","2026-07-02T04:46:53.119Z"
193,null,"Crimping tool kit","General","Crimping tool kit",10,10,"0.00","2026-07-02T04:46:53.125Z"
194,null,"Wirless Keyboard","General","Wirless Keyboard",10,10,"0.00","2026-07-02T04:46:53.131Z"
195,null,"Expandable IO module","General","Expandable IO module",10,10,"0.00","2026-07-02T04:46:53.137Z"
196,null,"Wireless keyboard and mouse","General","Wireless keyboard and mouse",10,10,"0.00","2026-07-02T04:46:53.143Z"
197,null,"Camera USB Extender","General","Camera USB Extender",10,10,"0.00","2026-07-02T04:46:53.148Z"
199,null,"SSD","General","SSD",10,10,"0.00","2026-07-02T04:46:53.160Z"
200,null,"DP to HDMI Converter","General","DP to HDMI Converter",10,10,"0.00","2026-07-02T04:46:53.167Z"
201,null,"CPU","General","CPU",10,10,"0.00","2026-07-02T04:46:53.173Z"
202,null,"Push Button and Buzzer kit","General","Push Button and Buzzer kit",10,10,"0.00","2026-07-02T04:46:53.178Z"
203,null,"Display port to HDMI converter cable","General","Display port to HDMI converter cable",10,10,"0.00","2026-07-02T04:46:53.184Z"
204,null,"Hailo Accelerator module","General","Hailo Accelerator module",10,10,"0.00","2026-07-02T04:46:53.193Z"
205,null,"Camre CSI cable 22 to 15 pin","General","Camre CSI cable 22 to 15 pin",10,10,"0.00","2026-07-02T04:46:53.198Z"
206,null,"Raspberry pi M.2 board","General","Raspberry pi M.2 board",10,10,"0.00","2026-07-02T04:46:53.204Z"
146,null,"400mm tie black PVC","General","400mm tie black PVC",10,8,"0.00","2026-07-02T04:46:52.827Z"
207,null,"IO Module","General","IO Module",10,10,"0.00","2026-07-02T04:46:53.210Z"
208,null,"DP to HDMI Converter with Dummy HDMI","General","DP to HDMI Converter with Dummy HDMI",10,10,"0.00","2026-07-02T04:46:53.216Z"
209,null,"Panel","General","Panel",10,10,"0.00","2026-07-02T04:46:53.222Z"
210,null,"Global shutter camera","General","Global shutter camera",10,10,"0.00","2026-07-02T04:46:53.228Z"
211,null,"DVP-14SS2","General","DVP-14SS2",10,10,"0.00","2026-07-02T04:46:53.234Z"
212,null,"DOP-103BQ","General","DOP-103BQ",10,10,"0.00","2026-07-02T04:46:53.239Z"
213,null,"RS-232 to RS-232","General","RS-232 to RS-232",10,10,"0.00","2026-07-02T04:46:53.245Z"
214,null,"RS-232/RS-485 combination cable","General","RS-232/RS-485 combination cable",10,10,"0.00","2026-07-02T04:46:53.252Z"
215,null,"Ethernet dummy cable","General","Ethernet dummy cable",10,10,"0.00","2026-07-02T04:46:53.259Z"
216,null,"Display 10.1 inch","General","Display 10.1 inch",10,10,"0.00","2026-07-02T04:46:53.265Z"
217,null,"Monitor With Power Adapter","General","Monitor With Power Adapter",10,10,"0.00","2026-07-02T04:46:53.271Z"
218,null,"HDMI to DP Cable","General","HDMI to DP Cable",10,10,"0.00","2026-07-02T04:46:53.277Z"
219,null,"PhotoElectric Sensor(DDTA-P)","General","PhotoElectric Sensor(DDTA-P)",10,10,"0.00","2026-07-02T04:46:53.283Z"
220,null,"PhotoElectric Sensor(DDTA)","General","PhotoElectric Sensor(DDTA)",10,10,"0.00","2026-07-02T04:46:53.290Z"
221,null,"lamp 24V assembled in box","General","lamp 24V assembled in box",10,10,"0.00","2026-07-02T04:46:53.296Z"
222,null,"Plastic enclosures for Relay","General","Plastic enclosures for Relay",10,10,"0.00","2026-07-02T04:46:53.302Z"
223,null,"Three-Core wire 10 meter","General","Three-Core wire 10 meter",10,10,"0.00","2026-07-02T04:46:53.308Z"
224,null,"Push Button","General","Push Button",10,10,"0.00","2026-07-02T04:46:53.313Z"
